Id,SalePrice
2658,72933.33119812438
2718,143849.97266211567
2414,220945.81764383594
1989,105952.5644293276
625,179286.3146249154
333,86456.0719900235
1327,93892.07463412902
858,162225.06511587996
95,157649.60653670906
1568,170234.2852553025
2482,133696.02716765786
1364,129892.5936184751
2584,142123.79490592706
818,289839.8230885344
2673,90641.88992065696
2089,121309.43472824898
1297,202078.4074772576
790,127575.20116667738
2616,176347.0147707799
720,185864.74779496904
222,150485.28775768616
557,135025.76992455797
1148,161620.07850845752
2766,208564.90908893052
534,169210.70698649218
1452,120999.9109137712
630,147007.75028845036
2648,145196.5326072181
125,181955.79194385762
1904,77088.62542255023
1670,96347.8663372034
756,111836.03768734627
717,136443.3642871697
1032,160783.62193187728
852,204580.26317015686
1731,168961.47493425585
2639,98374.4439771135
2071,74224.18102540314
1267,131015.93635792634
1851,198780.00892191895
567,153797.24084938507
2439,205857.21207372932
1898,155958.95956423192
647,129783.27027278414
2256,197820.61555960198
979,79887.15460126485
1444,214726.37977093982
2485,154435.65129352853
157,114272.08019702537
88,130385.45835082457
2003,100225.09837129986
186,190142.54156107784
1425,223816.0641344982
2695,122655.23774302172
738,109247.01200751938
395,140813.12943687825
1353,175257.45795356703
1878,137217.42067585362
390,173122.08000063951
1456,225072.69644395437
1103,308324.6713424976
1387,141918.4168132164
2070,150120.20450465326
1199,165536.60398795348
2479,188226.3324538429
501,342328.38702959765
2362,84813.83398896118
1718,202221.23218595874
2188,96005.35611251545
1483,148649.56184335466
2557,112314.4069953434
437,335024.01357801154
2224,217517.2614379975
1628,179236.4881473399
397,150767.0195310727
587,202799.40966203046
971,146511.97941646102
2611,128582.42852276779
1887,95483.33472785848
2399,391893.4997110056
2148,194925.55255471505
304,122597.20196473035
1997,140491.1792311966
2817,122343.3240563643
1431,245485.6752577371
427,369973.0675968379
263,135124.32551429322
598,180704.91099064492
2895,229240.35363571392
687,128917.65144184502
1822,132614.44637055486
2191,99421.18603949844
179,112248.45368005229
1009,237924.44771090974
2010,135042.94410310048
1991,135382.6555528115
1411,154062.9754640681
1721,215528.4126237107
1144,196040.55807851773
593,213593.62979486107
575,317055.4058524595
1249,177553.07617431902
1604,133579.48170196044
