Id,SalePrice
2658,77544.24074733429
2718,150569.7152550111
2414,221515.7273940707
1989,107004.32701332273
625,180851.93459485387
333,89748.86759232776
1327,92569.32844497512
858,164242.38279903788
95,153972.22111019882
1568,171356.78176931228
2482,134323.7323658956
1364,126844.2455897806
2584,149035.97012085337
818,294821.07533629553
2673,116995.04046597186
2089,120896.30348738194
1297,178237.40696453117
790,126037.61990648165
2616,172761.79821322803
720,192952.6100844553
222,160475.6054926318
557,135866.86162372096
1148,166256.48620148745
2766,186773.65728300676
534,165745.33948678215
1452,122694.74447275027
630,133888.21809802056
2648,137578.43489484518
125,184641.10667211702
1904,77906.97400298397
1670,91060.06020792277
756,113151.95555995076
717,152977.91613906744
1032,158989.40485651005
852,204673.68869248437
1731,172493.52578848216
2639,102176.71917879107
2071,59100.13511777007
1267,128648.71628667637
1851,191630.14280044896
567,151926.7560825914
2439,206676.16019578796
1898,151599.40326302135
647,131103.15463269624
2256,193374.38101724326
979,87024.60501980945
1444,213900.4427010165
2485,150207.7032388698
157,122750.34637017187
88,130318.06897752291
2003,101387.80853729502
186,185646.64076439617
1425,225599.84892076263
2695,123566.23160465798
738,110795.69224960067
395,141535.59654978727
1353,179175.39271463818
1878,134600.56911865558
390,175272.76301657502
1456,229150.52316845953
1103,304261.9691714641
1387,125860.57789392852
2070,149743.81041291304
1199,168664.15978557477
2479,186093.4159361566
501,346583.5136900721
2362,88069.8732172488
1718,201845.55276829464
2188,108042.80898654088
1483,149243.03390636027
2557,113194.86634939519
437,329439.3324680063
2224,217669.6562545764
1628,168797.757520483
397,150582.12305538193
587,201972.80126011092
971,149294.7450149476
2611,127429.78728628982
1887,93358.35423973386
2399,397033.6860123314
2148,191987.5284672719
304,115864.09043043005
1997,137482.45545950078
2817,117346.37080634935
1431,238456.88388455432
427,367761.90108208056
263,137530.51740228172
598,181059.12527749996
2895,221170.07555398304
687,129168.00554663858
1822,128469.66398221574
2191,94603.54570735243
179,111482.25124408309
1009,244530.910091135
2010,135186.93990800862
1991,146606.76353838388
1411,150680.3965931148
1721,211842.34224166127
1144,195858.1271549277
593,215559.55445598037
575,341275.9300656812
1249,176899.1072256432
1604,132554.24893814835
1064,454060.45563136146
1923,168162.36269097982
1988,107107.155832785
2325,170604.3551275015
114,193291.01316597068
2700,153339.50316727723
217,128779.70203074618
343,185055.23253372678
386,232999.03903674526
2005,92223.06079520483
2908,121983.6686800315
1814,187787.28911552735
2446,435138.4769038174
208,137634.3659437941
1679,111868.81653602172
822,345588.00047091604
6,189342.88352587802
1781,371318.26292491064
2397,317616.9500286544
2340,324660.7934552942
1618,168506.40781699042
2843,105482.86360187634
1061,365182.4404972884
2786,130599.29038358296
1935,134484.07828849787
1341,126962.46846875412
521,252415.93242107122
2136,164433.99542583045
996,218383.35478501074
227,171007.91095679664
135,173482.55929793982
1167,162886.90926882564
294,230921.56373589736
1776,201005.33459508177
540,172583.79954082565
1717,209810.74063158984
2303,120783.94937029874
116,182071.60144873583
127,151683.7553321515
1371,131653.0455596395
1014,159519.4882542988
1507,109347.0254553686
702,127740.83424462394
750,152151.95628003764
261,141755.71851413784
1559,51028.03229121689
577,224291.13986367497
2812,189635.3424301922
2080,140386.95738322518
1368,103103.89211875692
2376,132464.55233807716
659,106583.18324336254
1235,135115.29093644622
332,80000.60814235763
1917,130684.2711099884
2094,244830.7304939601
1460,225927.80122886598
1471,243990.26021735603
1509,111490.95685825839
1922,118711.69850367926
433,467422.6036563156
460,295831.60052268114
1116,234441.6603837354
1137,165698.07379417343
53,171306.78297733085
2354,256243.9230568575
1475,198182.7452598622
1761,419967.0992411866
842,151072.33659738503
2739,181077.680509488
2509,143887.1697505212
1007,197761.2074433313
2610,140700.18660333354
1952,113477.9853819778
2719,149452.78300750282
2921,77354.94748279531
1966,159380.93048753316
292,135775.99686457025
1204,206256.2280675954
1829,284135.355720011
2419,195024.11061100173
391,167914.2138770708
798,96149.69474981225
481,216070.8677235724
193,152390.06343146236
555,129416.52139128558
899,28974.752064690154
2357,189180.62223801244
328,146412.9284339791
1356,122859.7353288421
1154,114125.19232735435
1730,195990.03159256172
2249,170301.24915279102
1119,280992.12280151754
2856,132016.8431633272
1394,111676.04530399962
2587,124656.50166770697
61,325858.02436879266
2661,157209.612165009
2711,121805.37289729653
1147,181215.39503214613
757,129967.96205521605
2623,99245.79437119859
2378,147986.3941796278
1413,116990.65175845413
1722,218280.69307263975
1112,236778.73471448832
1623,190340.2558699443
1201,237161.5940994997
1513,108313.71333427189
957,327764.0820620574
1171,240016.02827833773
1145,192319.0383289596
2726,227979.69331888275
703,144070.24884958006
760,110118.28188539937
1964,156857.89694640398
2512,182639.59185354653
159,109088.70823255142
1281,174289.93579966284
468,193805.1636152122
290,138409.2889446252
665,94930.63408929072
1463,230206.40949983738
1792,210846.1594163467
923,167676.61637519984
500,283353.2012585626
1408,147891.0977799517
331,86285.86899342485
170,153245.56938133627
2192,92473.85670547612
2571,203656.60493987816
2314,174773.21427392802
2647,89821.43671047047
422,439829.9655027849
2457,328151.1593416105
1838,194289.07656751177
2805,269553.44668168575
1645,167977.3192994239
1711,318385.56217587634
2825,222696.8143218923
322,332897.2009299765
2103,236907.93486676848
342,124761.94422700706
600,131203.43027258306
488,173648.0207938196
1725,309015.31951061985
2246,265902.43849341397
2847,135228.64744063528
806,221992.87920397572
530,232186.6118854187
963,189657.48663222458
